City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,Beaufort West,-32.3567,22.583,67.41,23,11,10.85,ZA,2023-05-10 19:33:11
269,Iskateley,67.6803,53.1512,24.17,89,88,2.35,RU,2023-05-10 19:33:11
270,Las Lomas,8.4333,-82.4,90.81,58,20,13.8,PA,2023-05-10 19:33:11
271,Okakarara,-20.5833,17.4333,65.28,30,0,2.55,NA,2023-05-10 19:33:12
272,Prince Rupert,54.3161,-130.3201,55.49,61,0,5.75,CA,2023-05-10 19:30:52
273,Khada,27.1833,83.8833,77.65,13,0,2.89,IN,2023-05-10 19:33:12
274,Sabang,5.8933,95.3214,83.21,73,100,6.91,ID,2023-05-10 19:33:12
275,Niort,46.3333,-0.3333,54.63,83,100,1.99,FR,2023-05-10 19:33:13
276,El Sauzal De Rodriguez,31.9,-116.6833,61.43,64,17,13.8,MX,2023-05-10 19:33:13
277,Moyale,3.5167,39.0584,66.6,74,99,4.34,KE,2023-05-10 19:33:13
278,Neya,58.2972,43.8681,46.4,77,80,2.77,RU,2023-05-10 19:33:13
279,Nemuro,43.3236,145.575,39.76,90,7,10.27,JP,2023-05-10 19:33:13
280,Horovice,49.836,13.9027,55.9,100,100,3.2,CZ,2023-05-10 19:33:13
281,Naze,28.3667,129.4833,59.92,64,32,5.73,JP,2023-05-10 19:33:14
282,Axim,4.8699,-2.2405,82.92,81,33,10.04,GH,2023-05-10 19:33:14
283,Jiwani,25.05,61.7417,83.37,75,0,8.48,PK,2023-05-10 19:33:14
284,Susanville,40.4163,-120.653,63.82,34,0,8.05,US,2023-05-10 19:33:14
285,Lebu,-37.6167,-73.65,57.87,83,100,12.5,CL,2023-05-10 19:33:15
286,Puerto Maldonado,-12.6,-69.1833,79.2,53,75,2.3,PE,2023-05-10 19:33:15
287,Coruripe,-10.1256,-36.1756,79.05,77,11,7.47,BR,2023-05-10 19:33:15
288,Marshfield,44.6689,-90.1718,78.19,43,0,10.36,US,2023-05-10 19:29:17
289,Tegueste,28.5167,-16.3167,67.35,79,20,10.36,ES,2023-05-10 19:33:15
